pickup_zip,count,avg_trip_time,avg_trip_distance,avg_total_amount,avg_tip_amount
00083,1908249,877.29875922901,7.75146013899842,15.0507530234925,2.34154765850773
10001,9450099,889.020210264464,15.7799449027832,15.6803207407547,2.44487275981346
10002,2670932,926.073507300074,15.2768314555869,16.9770359678065,2.56064749361118
10003,7910584,860.744844375586,7.74131711253781,14.9729755170341,2.29763353556585
10004,677661,1220.12260850189,5.74153323008828,23.4847580082729,3.60805245045329
10005,677347,1148.68942949478,4.49600218227883,22.3561357767156,3.38884994847092
10006,318444,1192.68143849468,4.77781984654579,22.7926145876047,3.51185718222104
10007,1334141,957.958724002935,7.86721311311943,18.5727776636506,2.84532383568586
10009,2538123,899.953304075492,10.5529551675583,15.7523013467281,2.38596241133767
10010,4263206,784.452392166834,5.1748834793448,14.6285001049939,2.24898575054675
10011,7464058,1849.18088632216,8.43559000125806,15.5234108667996,3.0457007556019
10012,4060495,2763.19401230638,15.6249443584936,15.3861280836208,2.35822375253791
10013,3531956,967.534914647861,14.367170963682,16.9053292650798,2.59829461556306
10014,4868727,895.592038124134,7.31680266411085,15.5068944956782,2.38177734770411
10016,7483437,814.93443266777,20.6892065379951,14.8825918388406,2.27553007172746
10017,6391913,2053.82741802024,11.2947181795504,16.4613536499432,2.59497188148347
10018,4127337,932.519078039908,7.44123533642044,15.9828480931213,2.4734567224575
10019,9811987,930.783439786457,10.9381577698784,16.7392576665745,2.62042105612977
10020,381134,906.208952756773,20.0772114510964,16.2575772041634,2.59400300010029
10021,4815564,778.42241448769,8.26846519358211,14.517968347946,2.20594524740076
10022,8220411,1748.56922117398,5.6885915679847,15.4385110159935,2.40597645652146
10023,5484006,548.572329607225,8.25264594399496,14.5040377568532,2.24091240669584
10024,3880563,777.969226372565,14.3648241557875,14.6947415186582,2.27022648661075
10025,3346580,791.099619312851,18.5033010961969,15.3802553098207,2.3158800936593
10026,336264,802.047055289891,17.8277879880286,16.0294785491541,2.30147670821905
10027,602992,835.23094999602,2.79106416025273,17.0928635028324,2.49455529866314
10028,4174950,2548.36149750296,3.47627877292245,14.4544369300957,2.19553211684099
10029,1031969,788.677611439879,3.56392003909506,15.8998363665418,2.23803023080614
10030,74931,764.104536173279,2.58364828987023,16.5117086910878,2.14167167670371
10031,219380,984.724851855228,3.41389424743355,19.349733203469,2.68313245306141
10032,110550,1148.54587064677,4.92751970352035,22.9625756020246,3.26158129571817
10033,46160,903.187868284229,15.3074658268327,24.1207314098092,3.51654480755019
10034,18253,927.929052758451,4.51477948935628,25.7246843243119,3.6201760909967
10035,304857,780.13629997015,52.2668963807483,18.3094197751055,2.53364545657309
10036,6462204,910.94219495392,20.9801331347114,17.1259656695655,2.65916646444746
