pickup_zip,dropoff_zip,avg_trip_time,avg_trip_distance,avg_total_amount,avg_tip_amount
00083,00083,535.609904721382,1.22836126820532,10.4416655181162,1.68407433758149
00083,10001,1192.83849568557,2.55385829474446,17.5046357977711,2.73080053634792
00083,10002,1542.37980049875,5.42839900864627,26.0938450950042,3.86065336813746
00083,10003,1402.06518208017,3.5577851720734,20.6148926524801,3.11281844136911
00083,10004,1761.87921604376,7.23525524193739,31.0696487222461,4.65196445259141
00083,10005,1776.62813102119,7.09715478590228,30.926146131796,4.59506101926996
00083,10006,1861.20403825717,6.93527098999267,30.9910623588927,4.62602551337272
00083,10007,1774.99207816213,6.14141801406502,28.8216342248607,4.2766807532931
00083,10009,1366.90036116422,4.57393668981679,22.8620031369778,3.42594646031264
00083,10010,1196.78277925532,2.90788231251645,18.2979200777538,2.77590957149303
00083,10011,1333.08013548857,3.36506667338925,19.979330530176,3.03686703889089
00083,10012,1720.12969887817,4.27426392655571,23.9680375350411,3.62764416508709
00083,10013,1785.29005770084,5.25911340602255,26.9595536344378,4.0017543288708
00083,10014,1548.24100583201,4.0666977216247,22.6132641796053,3.42776565734385
00083,10016,1125.54978983,2.46739500534186,16.4975887283933,2.48790796907387
00083,10017,951.7395374728,2.59267903179241,14.160935409228,2.23626435771408
00083,10018,1095.19227678571,2.14471562335717,15.8714901156511,2.44065222972281
00083,10019,760.627747338467,1.54543826281518,12.5340656350779,1.98453477650685
00083,10020,765.939556633183,1.44925008592905,12.4657724400809,1.99899030055439
00083,10021,627.578100151274,1.37857239719019,10.934838688104,1.71875935781204
00083,10022,813.860480100695,1.48763845487611,12.4990087968823,1.9626050398566
00083,10023,548.025797765892,1.30740142328764,10.3371557487574,1.64574573344454
00083,10024,520.590201746832,1.37397435004975,10.3474968249456,1.65089217588994
00083,10025,592.100170255383,1.76748342388315,11.5991832115821,1.80784075971396
00083,10026,679.689242205245,1.97322320835401,12.2187012373453,1.86212471518327
00083,10027,790.038808585195,2.60547349822401,14.7116758274291,2.23822689299887
00083,10028,583.291746207689,1.44517970988755,10.7551990569728,1.68612373453273
00083,10029,648.283129584352,618.140079460614,11.8008398859746,1.77951955938664
00083,10030,1027.26033690659,3.01515058585124,16.2284532233487,2.33223072752155
00083,10031,1020.38878434324,3.96341738660039,19.494614051615,2.86115543557542
00083,10032,1308.49779573843,5.57926891565673,23.992314194687,3.5179206444071
00083,10033,1281.1213836478,6.61884276746954,27.5113078795139,4.15188679490473
00083,10034,1337.62579617834,8.22001592748484,31.8434869134502,4.79090764712851
00083,10035,833.944865429841,2.65353279176643,14.9126691827582,2.30359942363933
00083,10036,1020.58891685147,1.90428923674012,14.7388652405339,2.30819076363785
00083,10037,951.517489711934,3.18822016931856,16.6472221156697,2.38940329027435
00083,10038,1659.44360496492,6.77740960756766,29.6841281050936,4.31859147986744
00083,10039,1058.18409586057,3.58372548956237,18.0051850129836,2.24577341953086
00083,10040,1389.16363636364,7.46534544280081,29.7226057410963,4.28842424205984
00083,10044,1248.14146341463,4.66434146020471,22.6997070638145,3.54404878034824
00083,10048,1869.03819444444,7.71128472872078,31.9828121827708,4.64114583647137
00083,10055,745.078947368421,1.42210525901694,12.5001316697974,2.0224999903064
00083,10065,701.898078749066,1.30544152384919,11.3422675603915,1.76649487837443
00083,10069,682.69077661276,1.5118038017976,11.4744091564414,1.7691220895541
00083,10075,585.710091083413,1.38542265770094,10.6115137138242,1.66833373278331
00083,10103,903.217391304348,1.33806763409416,12.7025443236801,2.09175522478474
00083,10104,762.047222222222,1.48830555362834,12.7144444624583,2.02916666505237
00083,10107,703.850746268657,1.347910440235,11.9562686948634,1.81298506971615
00083,10111,745.492676431425,1.36476253887619,12.3865512878801,1.92032844996302
00083,10112,799.843373493976,1.68650602396712,13.4608433217887,2.20903613227588
00083,10115,864.791208791209,2.80615384500105,15.9541757499779,2.5442857159363
00083,10128,587.330191143815,11.3774243462653,11.2017061881435,1.75965646325763
00083,10151,690.398601398601,1.20027971595943,11.8419580693012,1.91258741883965
00083,10152,882.581395348837,1.6929457379404,14.1124031007752,2.18449612947311
00083,10153,627.682432432432,1.12738738775354,11.1620833669697,1.80746621062962
00083,10154,825.345733041575,1.69107220789797,13.6396936274723,2.18980305682648
00083,10155,745.712962962963,1.41231481151448,12.190185184832,1.80685185006371
00083,10280,1840.6184041184,7.07698842273256,31.4858619393529,4.67949163960952
00083,10281,1837.34265734266,6.87876124196238,30.6996100956386,4.59041957935871
00083,10282,1767.67780938834,6.43162874782068,29.4798005573441,4.35853485764663
00083,10285,1609.91891891892,6.19567568237717,28.09567523647,3.73621621103706
00083,10301,2883.33333333333,21.0933332443237,92.9233322143555,19.0233333905538
00083,10303,3147.66666666667,23.5566660563151,86.4333318074544,3.66666666666667
00083,10304,2630.85714285714,19.6428571428571,88.6199994768415,17.2357139587402
00083,10305,2752.09090909091,17.81727253307,82.6218185424805,14.8263633901423
00083,10306,4250.6,21.626000213623,93.6199996948242,13.8240002155304
00083,10309,3984.66666666667,31.0383332570394,124.541666666667,18.4183333714803
00083,10310,2868.33333333333,21.2816667556763,86.6383323669434,13.5800000826518
00083,10312,3381,30.3999996185303,118.904998779297,17.7749996185303
00083,10314,3309.81818181818,22.6581819707697,95.0072715065696,13.2999999098141
00083,10451,1213.28514056225,4.58640562243251,22.1147789667888,3.31763051353754
00083,10452,1361.26178010471,5.71109947765061,25.4240834650569,3.58481675006098
00083,10453,1391.40425531915,7.75510636796343,28.604893055368,2.20914893506214
