dropoff_zip,count,avg_trip_time,avg_trip_distance,avg_total_amount,avg_tip_amount
00083,1710997,5236.11887513537,19.7802299879244,14.5336916395453,2.26831117947218
10001,8596602,1580.23021433352,8.884241791022,14.349068442964,2.26310953845236
10002,2491173,933.351065140799,15.9854580235601,16.0795348496007,2.41570378291665
10003,6358973,753.716735391077,5.43833866123848,13.5966502623291,2.10505439617714
10004,794725,1095.07578973859,20.070040064468,22.0663215959304,3.35295975801292
10005,663664,1098.5082888329,5.78679948007095,21.373277602393,3.21054405153035
10006,394735,1170.71858335339,25.548224581723,21.8026694078868,3.36291235260378
10007,1306621,989.495562982686,6.98190673655604,17.8940743866968,2.72468428761141
10009,2595517,801.755667945924,9.07142986568958,14.75444226894,2.24611033185227
10010,4010813,746.870451202786,11.5591394490754,13.4595376489759,2.07876902532049
10011,6235475,1970.86736952678,2.11910516465929,13.4897622411415,2.09423572430066
10012,3549120,3018.02034025336,13.8773984343307,14.2893428027234,2.1937789932487
10013,3298431,939.988681285132,18.2772007323148,16.0549366639881,2.47135842211602
10014,4174639,813.891557329867,5.46745669677819,14.0141242431887,2.17897155749144
10016,6982130,801.768679185292,16.1152902267294,14.1699343131063,2.17718091053177
10017,6460866,850.914806931455,6.31942558292505,15.2045347320156,2.38871639270051
10018,3881272,1001.97504967444,7.41155507475926,15.7674850727569,2.4520566771996
10019,9123699,925.741636149987,8.29148772201426,15.9849063109447,2.4980044876474
10020,474007,869.75837487632,8.88320925591311,14.6485059886995,2.32305192038384
10021,4642225,718.64704920593,6.51695296404676,13.7226461034619,2.10897849712915
10022,7485564,2846.12135010802,4.38918825405334,15.0475959048374,2.33182066211988
10023,4952959,715.980922717107,6.88161097623242,14.1811148279574,2.20818355021588
10024,3873746,748.198855578037,7.49618023004294,14.5911369903351,2.27276773347084
10025,3350483,790.6714861708,9.17294459394467,16.0411150979844,2.445669784054
10026,631628,901.982977322095,3.33197298064689,18.5165313966659,2.71919955466437
10027,1062927,939.571246190943,8.89675246158173,19.1321043530354,2.80285314834904
10028,4071578,710.953942672841,10.519156154569,14.0602224225886,2.15915090213238
10029,1837874,756.364279596969,13.009436447945,15.3966369164265,2.2377522873656
10030,207343,1116.55020425093,4.69655889163396,23.1895855712871,3.19689548400105
10031,484591,1144.04257611058,36.8959742159705,23.9019377598928,3.44992998260992
10032,405497,1291.53043795638,18.793528560512,27.8065863838176,4.01093899406628
10033,264563,1360.31464339307,33.4351986127125,31.6936724946339,4.65469872867477
10034,127097,1453.6774904207,9.08822002188719,35.6499384788183,5.19812742032608
10035,747545,831.41759760282,3.17923322244549,17.1981854379154,2.50898454891792
10036,6057867,997.555367095382,12.4586185636585,16.7924704112029,2.61597874912433
10037,163117,1080.80041320034,4.61898643359943,22.8601284444539,3.11142044630115
10038,943736,1024.05711660888,31.5464070354099,19.7554689750056,2.97589790928402
10039,105108,1218.1327967424,5.44128011279182,25.8104790732472,3.45436024417114
10040,141058,1443.0849012463,29.8144244206914,33.700916056311,4.85177013756346
10044,73366,1343.55206771529,5.50588774135411,25.6540477899562,4.03605357720717
10048,70375,1157.07487033748,4.7768214579182,23.4271158095505,3.54332021305196
10055,12602,895.747103634344,2.185233296633,15.5705491918465,2.41980976068486
10065,4471899,783.997654687639,5.28192805204977,13.9770234708278,2.14621219645756
10069,432554,804.776291515048,2.3346477195015,14.68963228967,2.21156233323034
10075,2062821,708.252801382185,9.18852427602856,14.0479192888434,2.15928484224974
10103,28983,882.699340992996,1.83215574553574,14.4172959493564,2.23452788019294
10104,41895,948.94806062776,2.17250578718982,15.9049812653719,2.51171601375681
10107,10583,843.928470188037,1.8645951045723,14.5205896939258,2.273179448885
10111,85267,914.330010437801,48.8375041921377,15.1690560271008,2.36684575029417
10112,11777,1004.74781353486,3.26387280358624,20.9873849065298,3.34466262293814
10115,7381,1000.01409023168,3.35310391502629,18.9393023561117,3.0119829165757
10128,3607066,747.20800562008,11.7933685639677,15.0890667894198,2.31413379215209
10151,8444,874.68960208432,1.75304594912559,14.0733425172015,2.15956761267695
10152,39259,879.36707506559,2.17559081974346,15.5155093471688,2.42303778454694
10153,45630,836.674687705457,1.68205391122932,13.5798844142647,2.11329480504778
10154,61780,928.74828423438,2.23739219727552,15.9514238361328,2.50061317475294
10155,11062,832.604953896221,1.74177815960163,13.6855011060793,2.11704747391676
10280,522845,1131.19593378535,14.122718473189,22.0489011939925,3.33296513680019
10281,250367,1123.90339781201,4.05735348514611,20.4556664313445,3.11315117594775
10282,429209,1041.8819922229,3.86914976158328,19.8356819579197,3.02043781967461
10285,7772,1199.76518270715,3.81774704058272,20.0174451012865,3.09668508413799
10301,4500,2661.07688888889,18.8362311058967,78.836095401231,11.8323396678116
10302,477,2737.78616352201,20.8679035285671,80.3625511004601,10.6596707798495
10303,1053,2462.05033238367,20.4788984015888,80.0789056581445,10.2149843785359
10304,3557,2487.54259207197,17.8269946481158,74.7374189335813,11.0666568792013
10305,5820,2297.53608247423,16.4539123617798,72.4174614100785,10.970142165577
10306,3181,2902.85224772084,19.8054919870882,83.8572436271588,12.7882066947883
10307,339,3539.47197640118,30.989527941893,120.739159545979,18.5275209932158
10308,965,3240.82383419689,23.207803087612,94.3620593191381,14.6669435450417
10309,993,3347.95971802618,28.702396754967,110.79217930447,17.023033534347
10310,1783,2574.55916993831,18.6918508134745,78.6798936937386,12.3806448675027
10312,2075,3311.47662650602,26.1709397422298,103.429640174169,15.2342918656383
10314,6505,2665.96341275942,20.5951913954511,85.4252346349227,13.3444982162069
