doy,count,avg_trip_time,avg_trip_distance,avg_total_amount,avg_tip_amount
1,382014,807.021530624532,3.23540967063823,17.3242860863889,2.6154221432921
2,345296,796.719646332422,37.7022703996604,16.676189601153,2.49180595978781
3,406769,756.432176493292,16.7145828218486,15.9031831492725,2.38346768350015
4,328848,754.38317094828,22.2528458873175,17.6412767145594,2.63905835835521
5,363454,751.409471349882,3.40881290672573,17.2331269490517,2.58805708164987
6,384324,797.813966861294,2.71723220499883,16.3244987094576,2.47381845724719
7,429653,762.247671958534,2.62898443615162,15.8444564253408,2.40329277911064
8,450920,818.032023418788,2.64460139277332,16.1286418369583,2.45267303270077
9,447947,849.075613856103,70.2797552499687,16.5437051509123,2.50658608416487
10,515540,755.750752608915,5.81398191030798,15.3322793425163,2.30372061967128
11,419629,773.754842968432,69.8660888782507,16.347197282677,2.46266177395008
12,396367,1041.01297282569,2.7959197157461,16.7091786688409,2.55826078738365
13,448517,808.192358372146,2.67052533068711,16.5512848282606,2.54833937001419
14,442656,802.415772066797,2.74181728002252,16.7731990869326,2.57886366428036
15,451186,844.149909350024,2.80752908971475,17.0541376891266,2.60870481112145
16,478124,827.152596397587,2.79674153540493,16.7955791473455,2.54159144593763
17,476827,1434.75135636195,2.66837595150846,15.4418915205847,2.31525947684647
18,427042,1287.67333892217,2.83523173332648,30.9487155847065,17.6251096782206
19,342795,736.87205180939,3.09567412022147,16.8600988515373,2.56274983870866
20,405581,805.523712895821,2.78619506341182,16.8737522778057,2.5867596017917
21,431486,799.505870410627,11.6520458189672,16.5034176880487,2.55832521608717
22,452108,821.722172578234,21.486243551891,16.8083267162118,2.61046633753987
23,472440,845.617739818813,66.6983359224476,16.8684755855771,2.58712122056321
24,460505,747.260318563316,9.82683794913331,15.0272846596667,2.30369650409313
25,407579,834.328132705561,6.88085417766354,16.4338152014808,2.50534410702447
26,230255,865.765095220516,2.63306686074099,16.3774539491664,2.57951058375307
27,135500,562.444870848708,2.22263483360883,12.9849796518851,2.02641649518357
28,380192,835.442102937463,2.74495841571306,16.7070349832928,2.56623047944316
29,431985,907.763033438661,2.75632836767951,17.3224510933718,2.66543295849723
30,483380,876.389784434606,2.68213337317874,16.7112714450189,2.55010226410531
31,520067,782.738341406011,11.5336733505189,15.3276922926755,2.33115461414888
32,423113,743.648068010201,52.2828460831489,16.0275466975492,2.43306621481122
33,336849,823.722590834469,47.1037651586732,16.514681372146,2.57111839653922
34,421128,925.613535552136,36.832560219336,17.8843569473163,2.76499754927329
35,415624,943.53781302331,2.75486928023832,17.6906317800017,2.72969727346118
36,459717,885.590169604343,-67.362242118631,17.214116008138,2.66667938790867
37,476995,901.427987714756,37.3489117264163,17.1761087824256,2.62548651323647
38,485504,842.622666342605,-79.9386690331099,15.5943251041778,2.35732462673571
39,410477,762.504223135523,7.00974848766616,16.4294070877563,2.4850388673941
40,381114,754.483157270528,57.2208646226907,16.1143385394656,2.4855731238175
41,424564,838.784677928416,5.11274179448295,16.8750667028839,2.61645659564729
42,447258,886.973974752827,19.6136155452763,17.3269928070876,2.68741569219661
43,463682,914.000901479894,15.5052047740087,17.7060259502427,2.72926138587739
44,486241,1024.71853257952,74.3622250394704,18.4746350205252,2.80922621992147
45,501397,874.903224391051,2.77417449783385,16.2360500076551,2.45295098240469
46,459094,786.552298657791,4.65334262682004,15.8728733117293,2.4128816835087
47,412835,721.385115118631,3.11503823920438,16.6521779908985,2.57810735926647
48,394363,854.587550049067,20.6543389525661,17.4085022492226,2.6990849285628
49,436607,873.120534027169,2.79601712728387,17.2238698071279,2.66045449581113
50,477678,853.115602979413,6.37598263159398,16.9106961850384,2.61370220227258
51,498957,855.420296738998,16.6524881641355,16.739810458383,2.56927548716651
52,455297,874.848558193882,2.66877034054219,15.9701918390868,2.44021531901793
53,399059,800.230647598475,42.0035689960303,17.0897466228114,2.61041174825181
54,431831,828.825892536664,6.71389028324345,17.3658822368779,2.68328897631225
55,448513,950.536704621717,2.71057200077193,16.9916942850174,2.63481526609136
56,444233,886.967156874883,2.81266587555315,17.4400890428793,2.70289162481017
57,471732,913.17643916461,2.83314244104334,17.471359494053,2.70584275655417
58,487022,938.834845243131,3.86616080196659,17.4402425111709,2.66725402025403
59,499637,1007.41897017235,2.72196722781526,16.0034617085306,2.41911152070178
60,385267,861.691730669899,28.4523839569798,17.050850141794,2.60966322017613
61,388548,867.019979513471,26.8742863767964,18.2331022926429,2.81471849018341
62,397691,1103.74055485289,24.3848591745462,17.8403478032907,2.76376250024052
63,435759,1164.59465438465,49.2853015907247,17.4333991943623,2.70658308792042
64,366435,1066.67116405365,25.1135329044902,16.343355679242,2.56017434555957
65,446842,1024.34349277821,21.6222939873709,18.7862327980572,2.88218902200929
66,504246,852.159685946939,33.7203257137587,16.2624666484565,2.46009702580539
67,411917,898.888756715552,11.2230918602938,17.6493081071053,2.66793472293343
68,392009,895.177169401723,15.6400316616796,18.0779364587745,2.78692890334133
69,413949,956.319672230154,55.6594320092648,18.0157595659199,2.78233259015376
70,428366,922.229310916366,29.812561617593,17.8320658025705,2.76858975100393
71,461719,1156.33432239089,2.91478301676335,17.8724567550457,2.76961952543948
72,476936,910.405515624738,16.1781956905828,17.6442521902339,2.7105018567041
73,496525,822.994366849605,2.74323284825058,15.9010437180929,2.42266717567802
74,418778,954.840839299104,24.0907666348088,16.9897408352475,2.58343621857649
75,374820,855.068555573342,44.2517754388434,18.2047490561395,2.81004327753151
76,413376,856.278659138412,2.82809459141977,17.2096665719577,2.65992143872604
